method,factor_type,factor_name,train_q_value,holding_period,rank_ic,icir,raw_ir,net_ir,daily_turnover,portfolio_turnover,annual_return,tracking_error,info_retention,ic_half_life
debate,价值因子,vwap_deviation_momentum_fusion_optimized,5.35,1D,-0.004,-0.0248,1.3945,0.4887,0.1996,0.3225,0.1877,0.1346,100.0,40.0
debate,价值因子,vwap_deviation_momentum_fusion_optimized,5.35,5D,0.0272,0.1718,1.0,0.8252,0.1996,0.3225,0.1395,0.1395,-678.31,40.0
debate,价值因子,vwap_deviation_momentum_fusion_optimized,5.35,10D,0.0191,0.119,0.5211,0.434,0.1996,0.3225,0.073,0.14,-476.97,40.0
debate,价值因子,vwap_deviation_momentum_fusion_optimized,5.35,20D,-0.005,-0.0347,-0.277,-0.326,0.1996,0.3225,-0.0345,0.1245,125.03,40.0
baseline,波动率因子,normalized_intraday_volatility,6.564,1D,-0.0495,-0.28,-0.5121,-0.6145,0.0066,0.0502,-0.095,0.1854,100.0,40.0
baseline,波动率因子,normalized_intraday_volatility,6.564,5D,-0.0678,-0.3624,-0.4266,-0.4469,0.0066,0.0502,-0.0796,0.1866,136.9,40.0
baseline,波动率因子,normalized_intraday_volatility,6.564,10D,-0.0858,-0.4649,-0.6277,-0.6383,0.0066,0.0502,-0.1119,0.1783,173.18,40.0
baseline,波动率因子,normalized_intraday_volatility,6.564,20D,-0.126,-0.6209,-0.8652,-0.8702,0.0066,0.0502,-0.166,0.1918,254.3,40.0
baseline,波动率因子,stabilized_normalized_intraday_volatility,5.554,1D,0.0004,0.0032,1.4498,1.0409,0.0309,0.1226,0.1643,0.1133,100.0,60.7
baseline,波动率因子,stabilized_normalized_intraday_volatility,5.554,5D,0.0134,0.1193,1.1569,1.0656,0.0309,0.1226,0.1175,0.1015,3322.32,60.7
baseline,波动率因子,stabilized_normalized_intraday_volatility,5.554,10D,0.0151,0.1361,0.9903,0.9438,0.0309,0.1226,0.0988,0.0997,3740.29,60.7
baseline,波动率因子,stabilized_normalized_intraday_volatility,5.554,20D,0.0003,0.0025,0.6315,0.6107,0.0309,0.1226,0.0704,0.1115,79.58,60.7
baseline,波动率因子,normalized_intraday_volatility_enhanced,5.678,1D,-0.0022,-0.0188,1.0768,0.4482,0.1216,0.1803,0.1168,0.1084,100.0,40.0
baseline,波动率因子,normalized_intraday_volatility_enhanced,5.678,5D,0.01,0.0903,0.7665,0.6258,0.1216,0.1803,0.0742,0.0969,-450.09,40.0
baseline,波动率因子,normalized_intraday_volatility_enhanced,5.678,10D,0.0222,0.2143,0.9645,0.8924,0.1216,0.1803,0.0912,0.0946,-998.24,40.0
baseline,波动率因子,normalized_intraday_volatility_enhanced,5.678,20D,0.0164,0.1555,0.2454,0.2079,0.1216,0.1803,0.0223,0.0909,-737.09,40.0
baseline,波动率因子,normalized_intraday_volatility_enhanced,5.49,1D,-0.0098,-0.0996,-0.4772,-0.9164,0.0259,0.105,-0.0431,0.0904,100.0,40.0
baseline,波动率因子,normalized_intraday_volatility_enhanced,5.49,5D,-0.0285,-0.2789,-1.2,-1.2871,0.0259,0.105,-0.1093,0.0911,289.2,40.0
baseline,波动率因子,normalized_intraday_volatility_enhanced,5.49,10D,-0.0337,-0.3475,-1.3512,-1.3953,0.0259,0.105,-0.1217,0.0901,342.84,40.0
baseline,波动率因子,normalized_intraday_volatility_enhanced,5.49,20D,-0.0321,-0.3282,-1.1426,-1.1641,0.0259,0.105,-0.1055,0.0923,325.81,40.0
baseline,波动率因子,stable_normalized_intraday_volatility,5.57,1D,0.0017,0.0138,1.32,0.9571,0.0264,0.1071,0.1473,0.1116,100.0,40.0
baseline,波动率因子,stable_normalized_intraday_volatility,5.57,5D,0.0163,0.1468,1.3875,1.3087,0.0264,0.1071,0.1426,0.1028,948.51,40.0
baseline,波动率因子,stable_normalized_intraday_volatility,5.57,10D,0.0194,0.1784,0.9833,0.9437,0.0264,0.1071,0.1004,0.1021,1128.05,40.0
baseline,波动率因子,stable_normalized_intraday_volatility,5.57,20D,0.0083,0.066,0.7164,0.6977,0.0264,0.1071,0.0777,0.1085,483.11,40.0
debate,波动率因子,normalized_intraday_volatility,6.1899999999999995,1D,-0.0312,-0.2415,-1.858,-1.9433,0.0028,0.0272,-0.2242,0.1207,100.0,40.0
debate,波动率因子,normalized_intraday_volatility,6.1899999999999995,5D,-0.0534,-0.4214,-1.8043,-1.8228,0.0028,0.0272,-0.2008,0.1113,171.17,40.0
debate,波动率因子,normalized_intraday_volatility,6.1899999999999995,10D,-0.0677,-0.5222,-1.9963,-2.0058,0.0028,0.0272,-0.2164,0.1084,217.25,40.0
debate,波动率因子,normalized_intraday_volatility,6.1899999999999995,20D,-0.1014,-0.7337,-1.9337,-1.9381,0.0028,0.0272,-0.2289,0.1184,325.21,40.0
debate,波动率因子,normalized_intraday_volatility_v2,5.69,1D,0.0082,0.0828,2.2453,1.5342,0.0556,0.1634,0.1951,0.0869,100.0,8.94
debate,波动率因子,normalized_intraday_volatility_v2,5.69,5D,0.0148,0.1646,1.3972,1.2501,0.0556,0.1634,0.1174,0.084,181.51,8.94
debate,波动率因子,normalized_intraday_volatility_v2,5.69,10D,0.0012,0.0136,0.5605,0.4809,0.0556,0.1634,0.0435,0.0775,14.41,8.94
debate,波动率因子,normalized_intraday_volatility_v2,5.69,20D,-0.0245,-0.2988,-0.2684,-0.3079,0.0556,0.1634,-0.021,0.0782,-300.26,8.94
debate,波动率因子,normalized_intraday_volatility_v3,5.644,1D,0.0113,0.1131,3.0834,2.3899,0.0588,0.1657,0.2784,0.0903,100.0,116.17
debate,波动率因子,normalized_intraday_volatility_v3,5.644,5D,0.0194,0.2169,2.0331,1.8866,0.0588,0.1657,0.1738,0.0855,171.88,116.17
debate,波动率因子,normalized_intraday_volatility_v3,5.644,10D,0.0077,0.0846,1.1384,1.0652,0.0588,0.1657,0.0974,0.0856,68.7,116.17
debate,波动率因子,normalized_intraday_volatility_v3,5.644,20D,-0.01,-0.109,0.2997,0.2636,0.0588,0.1657,0.026,0.0868,-88.75,116.17
debate,波动率因子,directional_intraday_volatility,6.1899999999999995,1D,-0.0269,-0.1725,-0.5608,-0.7589,0.0109,0.0713,-0.0763,0.1361,100.0,40.0
debate,波动率因子,directional_intraday_volatility,6.1899999999999995,5D,-0.0379,-0.2742,-0.8922,-0.9367,0.0109,0.0713,-0.108,0.1211,141.14,40.0
debate,波动率因子,directional_intraday_volatility,6.1899999999999995,10D,-0.0562,-0.4372,-1.5008,-1.5263,0.0109,0.0713,-0.1586,0.1057,209.35,40.0
debate,波动率因子,directional_intraday_volatility,6.1899999999999995,20D,-0.0971,-0.735,-1.8413,-1.8536,0.0109,0.0713,-0.2018,0.1096,361.33,40.0
debate,波动率因子,directional_intraday_volatility,6.188000000000001,1D,-0.0227,-0.1593,-0.6382,-0.874,0.0122,0.0756,-0.0774,0.1212,100.0,40.0
debate,波动率因子,directional_intraday_volatility,6.188000000000001,5D,-0.042,-0.3244,-1.0821,-1.1343,0.0122,0.0756,-0.1185,0.1095,184.97,40.0
debate,波动率因子,directional_intraday_volatility,6.188000000000001,10D,-0.061,-0.4998,-1.7912,-1.8194,0.0122,0.0756,-0.182,0.1016,268.48,40.0
debate,波动率因子,directional_intraday_volatility,6.188000000000001,20D,-0.0967,-0.8253,-2.123,-2.1372,0.0122,0.0756,-0.2138,0.1007,425.72,40.0
